"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
housing_ref_u,followup_2_weeks,,radio,[housing_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[housing_ref_c] = '4' or [housing_ref_c] = '8'",,,,utility,,
housing_ref_2u,followup_2_weeks,,radio,[housing_ref_2],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[housing_ref_2c] = '4' or [housing_ref_2c] = '8'",,,,utility,,
housing_ref_3u,followup_2_weeks,,radio,[housing_ref_3],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[housing_ref_3c] = '4' or [housing_ref_3c] = '8'",,,,utility,,
edu_ref_u,followup_2_weeks,,radio,[edu_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[edu_ref_c] = '4' or [edu_ref_c] = '8'",,,,utility,,
youth_ref_u,followup_2_weeks,,radio,[youth_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[youth_ref_c] = '4' or [youth_ref_c] = '8'",,,,utility,,
fin_ref_u,followup_2_weeks,,radio,[fin_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[fin_ref_c] = '4' or [fin_ref_c] = '8'",,,,utility,,
fin_ref_2u,followup_2_weeks,,radio,[fin_ref_2],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[fin_ref_2c] = '4' or [fin_ref_2c] = '8'",,,,utility,,
medical_ref_u,followup_2_weeks,,radio,[medical_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[medical_ref_c] = '4' or [medical_ref_c] = '8'",,,,utility,,
medical_ref_2u,followup_2_weeks,,radio,[medical_ref_2],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[medical_ref_2c] = '4' or [medical_ref_2c] = '8'",,,,utility,,
medical_ref_3u,followup_2_weeks,,radio,[medical_ref_3],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[medical_ref_3c] = '4' or [medical_ref_3c] = '8'",,,,utility,,
social_ref_u,followup_2_weeks,,radio,[social_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[social_ref_c] = '4' or [social_ref_c] = '8'",,,,utility,,
criminal_ref_u,followup_2_weeks,,radio,[criminal_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[criminal_ref_c] = '4' or [criminal_ref_c] = '8'",,,,utility,,
violence_ref_u,followup_2_weeks,,radio,[violence_ref],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[violence_ref_c] = '4' or [violence_ref_c] = '8'",,,,utility,,
utilities_u,followup_2_weeks,,radio,[utilities],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[utilities_c] = '4' or [utilities_c] = '8'",,,,utility,,
utilities_2u,followup_2_weeks,,radio,[utilities_2],"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[utilities_2c] = '4' or [utilities_2c] = '8'",,,,utility,,
food_ref_cr,followup_2_weeks,"Call Result",checkbox,[food_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[food_ref] != """"",,,,call_result,,
food_ref_2cr,followup_2_weeks,,checkbox,[food_ref_2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[food_ref_2] != """"",,,,call_result,,
food_ref_3cr,followup_2_weeks,,checkbox,[food_ref_3],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[food_ref_3] != """"",,,,call_result,,
clothing_ref_cr,followup_2_weeks,,checkbox,[clothing_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[clothing_ref] != """"",,,,call_result,,
clothing_ref_2cr,followup_2_weeks,,checkbox,[clothing_ref_2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[clothing_ref_2] != """"",,,,call_result,,
transport_ref_cr,followup_2_weeks,,checkbox,[transport_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[transport_ref] != """"",,,,call_result,,
transport_ref_2cr,followup_2_weeks,,checkbox,[transport_ref_2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[transport_ref_2] != """"",,,,call_result,,
housing_ref_cr,followup_2_weeks,,checkbox,[housing_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[housing_ref] != """"",,,,call_result,,
housing_ref_2cr,followup_2_weeks,,checkbox,[housing_ref_2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[housing_ref_2] != """"",,,,call_result,,
housing_ref_3cr,followup_2_weeks,,checkbox,[housing_ref_3],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[housing_ref_3] != """"",,,,call_result,,
edu_ref_cr,followup_2_weeks,,checkbox,[edu_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[edu_ref] != """"",,,,call_result,,
youth_ref_cr,followup_2_weeks,,checkbox,[youth_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[youth_ref] != """"",,,,call_result,,
fin_ref_cr,followup_2_weeks,,checkbox,[fin_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[fin_ref] != """"",,,,call_result,,
fin_ref_2cr,followup_2_weeks,,checkbox,[fin_ref_2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[fin_ref_2] != """"",,,,call_result,,
medical_ref_cr,followup_2_weeks,,checkbox,[medical_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[medical_ref] != """"",,,,call_result,,
medical_ref_2cr,followup_2_weeks,,checkbox,[medical_ref_2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[medical_ref_2] != """"",,,,call_result,,
medical_ref_3cr,followup_2_weeks,,checkbox,[medical_ref_3],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[medical_ref_3] != """"",,,,call_result,,
social_ref_cr,followup_2_weeks,,checkbox,[social_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[social_ref] != """"",,,,call_result,,
criminal_ref_cr,followup_2_weeks,,checkbox,[criminal_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[criminal_ref] != """"",,,,call_result,,
violence_ref_cr,followup_2_weeks,,checkbox,[violence_ref],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[violence_ref] != """"",,,,call_result,,
utilities_cr,followup_2_weeks,,checkbox,[utilities],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[utilities] != """"",,,,call_result,,
utilities_2cr,followup_2_weeks,,checkbox,[utilities_2],"1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[utilities_2] != """"",,,,call_result,,
food_ref_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [food_ref]",,,,,,,"[food_ref_e] != """" or [food_ref_u] != """"",,,,,,
food_ref_2notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [food_ref_2]",,,,,,,"[food_ref_2e] != """" or [food_ref_2u] != """"",,,,,,
food_ref_3notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [food_ref_3]",,,,,,,"[food_ref_3e] != """" or [food_ref_3u] != """"",,,,,,
clothing_ref_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [clothing_ref]",,,,,,,"[clothing_ref_e] != """" or [clothing_ref_u] != """"",,,,,,
clothing_ref_2notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [clothing_ref_2]",,,,,,,"[clothing_ref_2e] != """" or [clothing_ref_2u] != """"",,,,,,
transport_ref_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [transport_ref]",,,,,,,"[transport_ref_e] != """" or [transport_ref_u] != """"",,,,,,
transport_ref_2notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [transport_ref_2]",,,,,,,"[transport_ref_2e] != """" or [transport_ref_2u] != """"",,,,,,
housing_ref_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [housing_ref]",,,,,,,"[housing_ref_e] != """" or [housing_ref_u] != """"",,,,,,
housing_ref_2notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [housing_ref_2]",,,,,,,"[housing_ref_2e] != """" or [housing_ref_2u] != """"",,,,,,
housing_ref_3notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [housing_ref_3]",,,,,,,"[housing_ref_3e] != """" or [housing_ref_3u] != """"",,,,,,
edu_ref_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [edu_ref]",,,,,,,"[edu_ref_e] != """" or [edu_ref_u] != """"",,,,,,
youth_ref_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [youth_ref]",,,,,,,"[youth_ref_e] != """" or [youth_ref_u] != """"",,,,,,
fin_ref_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [fin_ref]",,,,,,,"[fin_ref_e] != """" or [fin_ref_u] != """"",,,,,,
fin_ref_2notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [fin_ref_2]",,,,,,,"[fin_ref_2e] != """" or [fin_ref_2u] != """"",,,,,,
medical_ref_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [medical_ref]",,,,,,,"[medical_ref_e] != """" or [medical_ref_u] != """"",,,,,,
medical_ref_2notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [medical_ref_2]",,,,,,,"[medical_ref_2e] != """" or [medical_ref_2u] != """"",,,,,,
medical_ref_3notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [medical_ref_3]",,,,,,,"[medical_ref_3e] != """" or [medical_ref_3u] != """"",,,,,,
social_ref_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [social_ref]",,,,,,,"[social_ref_e] != """" or [social_ref_u] != """"",,,,,,
criminal_ref_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [criminal_ref]",,,,,,,"[criminal_ref_e] != """" or [criminal_ref_u] != """"",,,,,,
violence_ref_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [violence_ref]",,,,,,,"[violence_ref_e] != """" or [violence_ref_u] != """"",,,,,,
utilities_notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [utilities]",,,,,,,"[utilities_e] != """" or [utilities_u] != """"",,,,,,
utilities_2notes,followup_2_weeks,,notes,"Notes about Ease-of-Use/Utility: [utilities_2]",,,,,,,"[utilities_2e] !=  """" or [utilities_2u] != """"",,,,,,
addn_ref,followup_2_weeks,,yesno,"Additional Referrals for Follow-Up?",,,,,,,"[food_ref_other] != """" or [clothing_ref_other] != """" or [transport_ref_other] != """" or [housing_ref_other] != """" or [edu_ref_other] != """" or [youth_ref_other] != """" or [fin_ref_other] != """" or [medical_ref_other] != """" or [social_ref_other] != """" or [criminal_ref_other] != """" or [violence_ref_other] != """" or [utilities_ref_other] != """"",,,,,,
other_ref1,followup_2_weeks,,text,"Other Referral 1",,,,,,,"[addn_ref] = '1'",,,,,,
other_ref1_c,followup_2_weeks,,radio,"[other_ref1]: Connection Status","1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[other_ref1] != """"",,,,,,
other_ref1_cc,followup_2_weeks,,checkbox,"[other_ref1]: Reasons for Not Connecting","6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[other_ref1_c] != '4' and [other_ref1_c] != '8' and [other_ref1_c] != ''",,,,,,
other_ref1_cr,followup_2_weeks,,checkbox,"[other_ref1]: Call Result","1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[other_ref1] != """"",,,,,,
other_ref1_e,followup_2_weeks,,dropdown,"[other_ref1]: Ease of Use","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,autocomplete,,,,"[other_ref1_c] = '4' or [other_ref1_c] = '8'",,,,,,
other_ref1_u,followup_2_weeks,,dropdown,"[other_ref1]: Utility","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,autocomplete,,,,"[other_ref1_c] = '4' or [other_ref1_c] = '8'",,,,,,
other_ref1notes,followup_2_weeks,,notes,"Notes about Ease of Use/Utility: [other_ref1]",,,,,,,"[other_ref1_e] != """" or [other_ref1_u] != """"",,,,,,
other_ref2,followup_2_weeks,,text,"Other Referral 2",,,,,,,"[other_ref1] != """"",,,,,,
other_ref2_c,followup_2_weeks,,radio,"[other_ref2]: Connection Status","1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[other_ref2] != """"",,,,,,
other_ref2_cc,followup_2_weeks,,checkbox,"[other_ref2]: Reasons for Not Connecting","6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[other_ref2_c] != '4' and [other_ref2_c] != '8' and [other_ref2_c] != ''",,,,,,
other_ref2_cr,followup_2_weeks,,checkbox,"[other_ref2]: Call Result","1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[other_ref2] != """"",,,,,,
other_ref2_e,followup_2_weeks,,dropdown,"[other_ref2]: Ease of Use","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,autocomplete,,,,"[other_ref2_c] = '4' or [other_ref2_c] = '8'",,,,,,
other_ref2_u,followup_2_weeks,,dropdown,"[other_ref2]: Utility","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,autocomplete,,,,"[other_ref2_c] = '4' or [other_ref2_c] = '8'",,,,,,
other_ref2notes,followup_2_weeks,,notes,"Notes about Ease of Use/Utility: [other_ref2]",,,,,,,"[other_ref2_e] != """" or [other_ref2_u] != """"",,,,,,
other_ref3,followup_2_weeks,,text,"Other Referral 3",,,,,,,"[other_ref2] != """"",,,,,,
other_ref3_c,followup_2_weeks,,radio,"[other_ref3]: Connection Status","1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[other_ref3] != """"",,,,,,
other_ref3_cc,followup_2_weeks,,checkbox,"[other_ref3]: Reasons for Not Connecting","6, Work schedule | 3, Family obligations | 1, Other personal commitments limiting time | 2, Lack of transportation | 4, No one picked up | 5, Forgot contact information of resource | 7, Resource is no longer available | 8, Other",,,,,,"[other_ref3_c] != '4' and [other_ref3_c] != '8' and [other_ref3_c] != ''",,,,,,
other_ref3_cr,followup_2_weeks,,checkbox,"[other_ref3]: Call Result","1, Reminded patient about referral | 2, Provided patient specific information about their referral | 3, Used motivational interviewing/coaching techniques | 4, Recommended alternative resource | 5, Connecting patient back case manager",,,,,,"[other_ref3] != """"",,,,,,
other_ref3_e,followup_2_weeks,,dropdown,"[other_ref3]: Ease of Use","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,autocomplete,,,,"[other_ref3_c] = '4' or [other_ref3_c] = '8'",,,,,,
other_ref3_u,followup_2_weeks,,dropdown,"[other_ref3]: Utility","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,autocomplete,,,,"[other_ref3_c] = '4' or [other_ref3_c] = '8'",,,,,,
other_ref3notes,followup_2_weeks,,notes,"Notes about Ease of Use/Utility: [other_ref3]",,,,,,,"[other_ref3_e] != """" or [other_ref3_u] != """"",,,,,,
consent4,followup_2_weeks,,yesno,"Did patient agree to four week follow-up? ",,,,,,,,,,,,,
lastfollowup,followup_2_weeks,,yesno,"Is this the last followup with the patient?",,,,,,,,,,,,,
helpful,followup_2_weeks,,yesno,"Was Help Desk helpful in addressing the patient's needs?",,,,,,,"[lastfollowup] = '1'",,,,,,
overallhealth,followup_2_weeks,,yesno,"Does the patient think assistance from Help Desk will help with their overall health?",,,,,,,"[lastfollowup] = '1'",,,,,,
successfulsheet,followup_2_weeks,,yesno,"Did you fill out the successful referrals cheat sheet?",,,,,,,,,,,,,
closing_notes,followup_2_weeks,,notes,"Closing notes ",,,,,,,,,,,,,
text_preference,followup_2_weeks,,yesno,"Would you prefer to be texted this information about resources or receive a phone call about this information?
",,,,,,,,,,,,," @HIDDEN"
student1_w4,followup_4_weeks,,dropdown,"Name of Student 1 Calling","1, Gene M | 2, Ethan B | 3, Matthew Y | 4, Natalie G | 5, Brianna C | 6, Advika K | 7, Mohanapriya C | 8, Bailey G | 9, Dongwon L | 10, Ayra C | 11, Haripriya D | 12, Gloria K | 13, Morgan B | 14, Leslie L P | 15, Nidhi D | 16, James Z | 17, Natalie R | 18, Grace L | 19, Meredith H | 20, Adrian C | 21, Caroline H | 22, Sriya D | 23, Emily R | 24, Aneri T | 25, Rose N | 26, Esther Z | 27, Amber B | 28, Katherine W | 29, Margo B | 30, NiQuava P | 31, Scott M | 32, Pratamesh R | 33, Rebecca L | 34, Sue Z | 35, Wayne W | 36, Amitesh V | 37, McKenna P | 38, Esha P | 39, Rhea N | 40, Shibani M | 41, Yaneli G H | 42, Devan D | 43, Amy C | 44, Julia C | 45, Yasmin A | 46, Maria B | 47, Ishaan B | 48, Austin B | 49, Eugene C | 50, Emily D C | 51, Saisha D | 52, Spandan G | 53, Amy G | 54, Achintya I | 55, Elena K | 56, Cristal O | 57, Taylor P | 58, Catherine P | 59, Ashna S | 60, Rachel S | 61, Ashish S | 62, Ariana V | 63, Brooke W | 64, Dev S | 65, Elias L",,autocomplete,,,y,,,,,,,
attempt1_w4,followup_4_weeks,,text,"Attempt 1",,,datetime_mdy,,,y,,,,,,,
ddiff1_w4,followup_4_weeks,,calc,"Days Since Screening 1","datediff([attempt1_w4], [datescreen], ""d"", ""mdy"")",,,,,,,,,,,," @READONLY"
contacttype1_w4,followup_4_weeks,,radio,"Method of Contact 1","1, Call | 2, Text | 3, Email",,,,,,,,,,,,
calloutcome1_w4,followup_4_weeks,,dropdown,"Call Outcome 1","1, Disconnected phone line  | 2, Wrong number  | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy | 10,   | 11,    | 12",,autocomplete,,,,"[contacttype1_w4] = '1'",,,,,,
textoutcome1_w4,followup_4_weeks,,dropdown,"Text Outcome 1","1, Responded | 2, Did not respond",,,,,,"[contacttype1_w4] = '2'",,,,,,
emailoutcome1_w4,followup_4_weeks,,dropdown,"Email Outcome 1","1, Responded | 2, Did not respond",,,,,,"[contacttype1_w4] = '3'",,,,,,
attempt2_w4,followup_4_weeks,,text,"Attempt 2",,,datetime_mdy,,,y,"[calloutcome1_w4] != '9' and [calloutcome1_w4] != '' or [textoutcome1_w4] = '2' or [emailoutcome1_w4] = '2'",,,,,,
ddiff2_w4,followup_4_weeks,,calc,"Days Since Screening 2","datediff([attempt2_w4], [datescreen], ""d"", ""mdy"")",,,,,,"[calloutcome1_w4] != '9' and [calloutcome1_w4] != '' or [textoutcome1_w4] = '2' or [emailoutcome1_w4] = '2'",,,,,," @READONLY"
contacttype2_w4,followup_4_weeks,,radio,"Method of Contact 2","1, Call | 2, Text | 3, Email",,,,,,"[calloutcome1_w4] != '9' and [calloutcome1_w4] != '' or [textoutcome1_w4] = '2' or [emailoutcome1_w4] = '2'",,,,,,
calloutcome2_w4,followup_4_weeks,,dropdown,"Call Outcome 2","1, Disconnected phone line  | 2, Wrong number  | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy | 10,   | 11,    | 12",,autocomplete,,,,"([calloutcome1_w4] != '9' and [calloutcome1_w4] != '' or [textoutcome1_w4] = '2' or [emailoutcome1_w4] = '2') and [contacttype2_w4] = '1'",,,,,,
textoutcome2_w4,followup_4_weeks,,dropdown,"Text Outcome 2","1, Responded | 2, Did not respond",,,,,,"([calloutcome1_w4] != '9' and [calloutcome1_w4] != '' or [textoutcome1_w4] = '2' or [emailoutcome1_w4] = '2') and [contacttype2_w4] = '2'",,,,,,
emailoutcome2_w4,followup_4_weeks,,dropdown,"Email Outcome 2","1, Responded | 2, Did not respond",,,,,,"([calloutcome1_w4] != '9' and [calloutcome1_w4] != '' or [textoutcome1_w4] = '2' or [emailoutcome1_w4] = '2') and [contacttype2_w4] = '3'",,,,,,
attempt3_w4,followup_4_weeks,,text,"Attempt 3",,,datetime_mdy,,,y,"[calloutcome2_w4] != '9' and [calloutcome2_w4] != '' or [textoutcome2_w4] = '2' or [emailoutcome2_w4] = '2'",,,,,,
ddiff3_w4,followup_4_weeks,,calc,"Days Since Screening 3","datediff([attempt3_w4], [datescreen], ""d"", ""mdy"")",,,,,,"[calloutcome2_w4] != '9' and [calloutcome2_w4] != '' or [textoutcome2_w4] = '2' or [emailoutcome2_w4] = '2'",,,,,," @READONLY"
contacttype3_w4,followup_4_weeks,,radio,"Method of Contact 3","1, Call | 2, Text | 3, Email",,,,,,"[calloutcome2_w4] != '9' and [calloutcome2_w4] != '' or [textoutcome2_w4] = '2' or [emailoutcome2_w4] = '2'",,,,,,
calloutcome3_w4,followup_4_weeks,,dropdown,"Call Outcome 3","1, Disconnected phone line  | 2, Wrong number  | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy | 10,   | 11,    | 12",,autocomplete,,,,"([calloutcome2_w4] != '9' and [calloutcome2_w4] != '' or [textoutcome2_w4] = '2' or [emailoutcome2_w4] = '2') and [contacttype3_w4] = '1'",,,,,,
textoutcome3_w4,followup_4_weeks,,dropdown,"Text Outcome 3","1, Responded | 2, Did not respond",,,,,,"([calloutcome2_w4] != '9' and [calloutcome2_w4] != '' or [textoutcome2_w4] = '2' or [emailoutcome2_w4] = '2') and [contacttype3_w4] = '2'",,,,,,
emailoutcome3_w4,followup_4_weeks,,dropdown,"Email Outcome 3","1, Responded | 2, Did not respond",,,,,,"([calloutcome2_w4] != '9' and [calloutcome2_w4] != '' or [textoutcome2_w4] = '2' or [emailoutcome2_w4] = '2') and [contacttype3_w4] = '3'",,,,,,
length4,followup_4_weeks,,text,"Length of Call (minutes)",,,integer,0,60,,"[contacttype1_w4] = '1' or [contacttype2_w4] = '1' or [contacttype3_w4] = '1'",y,,,,,
lengthresponse_w4,followup_4_weeks,,dropdown,"How long did it take the patient to respond after volunteer sent text/email?","1, within 1 day  | 2, within 1 week  | 3, within 2 weeks | 4, within 1 month  | 5, more than 1 month",,,,,,"[contacttype1_w4] = '2' or [contacttype2_w4] = '2' or [contacttype3_w4] = '2' or [contacttype1_w4] = '3' or [contacttype2_w4] = '3' or [contacttype3_w4] = '3'",,,,,,
patientresponse_w4,followup_4_weeks,,checkbox,"Which method of communication did the patient respond to?","1, Call  | 2, Text  | 3, Email",,,,,,,,,,,,
notes_reach_w4,followup_4_weeks,,notes,"Notes about reaching the patient ",,,,,,,,,,,,,
food_ref_c_w4,followup_4_weeks,"Connection Status",radio,[food_ref],"1, Did not attempt to make contact | 2, Attempted but did not make contact | 3, Contacted but not qualified for services | 4, In process of obtaining services, but services not started yet | 8, Services started",,,,,,"[food_ref] != """"",,,,connection_status_w4,,
